Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1378,16,15/07/2023 18:05,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,9 - 4
1382,16,15/07/2023 18:05,PNC Park,Pittsburgh Pirates,San Francisco Giants,1 - 3
1383,16,15/07/2023 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,6 - 5
1384,16,15/07/2023 18:07,Oakland Coliseum,Oakland Athletics,Minnesota Twins,7 - 10
1385,16,15/07/2023 18:10,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,2 - 4
1386,16,15/07/2023 18:10,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,0 - 3
1387,16,15/07/2023 18:15,Citi Field,New York Mets,Los Angeles Dodgers,1 - 5
1388,16,15/07/2023 18:15,Busch Stadium,St. Louis Cardinals,Washington Nationals,9 - 6
1389,16,15/07/2023 18:15,Truist Park,Atlanta Braves,Chicago White Sox,5 - 6
1390,16,15/07/2023 19:10,Coors Field,Colorado Rockies,New York Yankees,3 - 6
1391,16,15/07/2023 20:07,Angel Stadium,Los Angeles Angels,Houston Astros,13 - 12
1392,16,15/07/2023 20:40,T-Mobile Park,Seattle Mariners,Detroit Tigers,0 - 6
1393,16,16/07/2023 11:05,PNC Park,Pittsburgh Pirates,San Francisco Giants,4 - 8
1394,16,16/07/2023 12:35,Truist Park,Atlanta Braves,Chicago White Sox,1 - 8
1395,16,16/07/2023 12:35,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,7 - 6
1396,16,16/07/2023 12:35,Oriole Park at Camden Yards,Baltimore Orioles,Miami Marlins,5 - 4
1397,16,16/07/2023 12:37,Rogers Centre,Toronto Blue Jays,Arizona Diamondbacks,7 - 5
1399,16,16/07/2023 12:40,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,3 - 4
1400,16,16/07/2023 13:10,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,8 - 4
1401,16,16/07/2023 13:15,Busch Stadium,St. Louis Cardinals,Washington Nationals,8 - 4
1402,16,16/07/2023 13:20,Wrigley Field,Chicago Cubs,Boston Red Sox,5 - 11
1403,16,16/07/2023 13:35,Globe Life Field,Texas Rangers,Cleveland Guardians,6 - 5
1404,16,16/07/2023 14:10,Coors Field,Colorado Rockies,New York Yankees,8 - 7
1406,16,16/07/2023 15:07,Oakland Coliseum,Oakland Athletics,Minnesota Twins,4 - 5
1407,16,16/07/2023 15:10,T-Mobile Park,Seattle Mariners,Detroit Tigers,2 - 0
1398,16,16/07/2023 16:10,Citi Field,New York Mets,Los Angeles Dodgers,2 - 1
1405,16,16/07/2023 18:10,Angel Stadium,Los Angeles Angels,Houston Astros,8 - 9
1408,16,17/07/2023 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Dodgers,4 - 6
1409,16,17/07/2023 18:05,PNC Park,Pittsburgh Pirates,Cleveland Guardians,0 - 11
1411,16,17/07/2023 18:45,Busch Stadium,St. Louis Cardinals,Miami Marlins,6 - 4
1412,16,17/07/2023 19:05,Wrigley Field,Chicago Cubs,Washington Nationals,5 - 7
1413,16,17/07/2023 19:05,Globe Life Field,Texas Rangers,Tampa Bay Rays,3 - 2
1414,16,17/07/2023 19:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,2 - 3
1415,16,17/07/2023 20:38,Angel Stadium,Los Angeles Angels,New York Yankees,4 - 3
1416,16,17/07/2023 20:40,Oakland Coliseum,Oakland Athletics,Boston Red Sox,0 - 7
1417,16,17/07/2023 20:40,T-Mobile Park,Seattle Mariners,Minnesota Twins,7 - 6
1418,16,18/07/2023 17:40,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,4 - 3
1419,16,18/07/2023 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Dodgers,3 - 10
1420,16,18/07/2023 18:05,PNC Park,Pittsburgh Pirates,Cleveland Guardians,1 - 10
1421,16,18/07/2023 18:07,Rogers Centre,Toronto Blue Jays,San Diego Padres,1 - 9
1423,16,18/07/2023 18:10,Citi Field,New York Mets,Chicago White Sox,11 - 10
1424,16,18/07/2023 18:20,Truist Park,Atlanta Braves,Arizona Diamondbacks,13 - 16
1410,16,18/07/2023 18:40,Great American Ball Park,Cincinnati Reds,San Francisco Giants,2 - 4
